isbn,title,author,publisher,pub_place,pub_year,extent,dimensions,subject,inclusion_date,source,library,notes
,"ilustracja boskiej komedii dantego : raj : pieśń xxv : wersy 13-27, 100-117","Mrożewski, Stefan (1894-1975)",,,[1969],1 matryca graficzna,"31,7x24,9x2,3 cm.",Poeci włoscy,,,,"Data wg adnot. na rew.: ""21/3 1969 2/4 1969"". Na rew. adnot. flamastrem, kredką i ołówkiem. Sygn. monogramem wiązanym z herbem Prus. Nazwa aut.: Stefan Mrożewski. Tyt. nadany przez katalogującego. Anna Filipowicz, Twórczość Stefana Mrożewskiego w publicznych zbiorach polskich, cz. II, Katalog, Warszawa 1995 (maszynopis w zbiorach ZZI) Marta Samek, Katalog prac Stefana Mrożewskiego ze zbiorów Muzeum Narodowego w Kielcach (maszynopis w zbiorach ZZI)"
,"ilustracja boskiej komedii dantego : raj : pieśń xxvi : wersy 1-66, 82-96","Mrożewski, Stefan (1894-1975)",,,[1969],1 matryca graficzna,"31,7x24,9x2,3 cm.",Poeci włoscy,,,,"Data wg adnot. na rew.: ""7/4.69 18/4.69"". Na rew. adnot. kredką i ołówkiem. Sygn. monogramem wiązanym z herbem Prus. Nazwa aut.: Stefan Mrożewski. Tyt. nadany przez katalogującego. Anna Filipowicz, Twórczość Stefana Mrożewskiego w publicznych zbiorach polskich, cz. II, Katalog, Warszawa 1995 (maszynopis w zbiorach ZZI) Marta Samek, Katalog prac Stefana Mrożewskiego ze zbiorów Muzeum Narodowego w Kielcach (maszynopis w zbiorach ZZI)"
,"ilustracja boskiej komedii dantego : raj : pieśń xxvii : wersy 1-11, 19-27, 40-66","Mrożewski, Stefan (1894-1975)",,,[1969],1 matryca graficzna,"31,6x24,9x2,3 cm.",Poeci włoscy,,,,"Data wg adnot. na rew.: ""21/4 69 1/5 1969"". Na rew. adnot. kredką i ołówkiem. Sygn. monogramem wiązanym z herbem Prus. Nazwa aut.: Stefan Mrożewski. Tyt. nadany przez katalogującego. Anna Filipowicz, Twórczość Stefana Mrożewskiego w publicznych zbiorach polskich, cz. II, Katalog, Warszawa 1995 (maszynopis w zbiorach ZZI) Marta Samek, Katalog prac Stefana Mrożewskiego ze zbiorów Muzeum Narodowego w Kielcach (maszynopis w zbiorach ZZI)"
,"ilustracja boskiej komedii dantego : raj : pieśń xxviii : wersy 13-39, 94-96","Mrożewski, Stefan (1894-1975)",,,[1969],1 matryca graficzna,"31,6x25x2,3 cm.",Anioły,,,,"Data wg adnot. na rew.: ""8/5 1969 6/6 [...]"". Na rew. adnot. kredką i ołówkiem. Sygn. monogramem wiązanym z herbem Prus. Nazwa aut.: Stefan Mrożewski. Tyt. nadany przez katalogującego. Anna Filipowicz, Twórczość Stefana Mrożewskiego w publicznych zbiorach polskich, cz. II, Katalog, Warszawa 1995 (maszynopis w zbiorach ZZI) Marta Samek, Katalog prac Stefana Mrożewskiego ze zbiorów Muzeum Narodowego w Kielcach (maszynopis w zbiorach ZZI)"
,"ilustracja boskiej komedii dantego : raj : pieśń xxix : wersy 49-57, 91-93, 130-145","Mrożewski, Stefan (1894-1975)",,,[1969],1 matryca graficzna,"31,7x25x2,3 cm.",Anioły,,,,"Data wg adnot. na rew.: ""[...] 1/6 1969"". Na rew. adnot. kredką, flamastrem i ołówkiem. Sygn. monogramem wiązanym z herbem Prus. Nazwa aut.: Stefan Mrożewski. Tyt. nadany przez katalogującego. Anna Filipowicz, Twórczość Stefana Mrożewskiego w publicznych zbiorach polskich, cz. II, Katalog, Warszawa 1995 (maszynopis w zbiorach ZZI) Marta Samek, Katalog prac Stefana Mrożewskiego ze zbiorów Muzeum Narodowego w Kielcach (maszynopis w zbiorach ZZI)"
,"ilustracja boskiej komedii dantego : raj : pieśń xxx : wersy 61-81, 88-120","Mrożewski, Stefan (1894-1975)",,,[1969],1 matryca graficzna,"31,6x24,9x2,3 cm.",Raj,,,,"Data wg adnot. na rew.: ""30/6.69 11/7.69"". Na rew. adnot. kredką i ołówkiem. Sygn. monogramem wiązanym z herbem Prus. Nazwa aut.: Stefan Mrożewski. Tyt. nadany przez katalogującego. Anna Filipowicz, Twórczość Stefana Mrożewskiego w publicznych zbiorach polskich, cz. II, Katalog, Warszawa 1995 (maszynopis w zbiorach ZZI) Czarodziej rylca Marta Samek, Katalog prac Stefana Mrożewskiego ze zbiorów Muzeum Narodowego w Kielcach (maszynopis w zbiorach ZZI)"
,ilustracja boskiej komedii dantego : raj : pieśń xxxi : wersy 59-142,"Mrożewski, Stefan (1894-1975)",,,[1969],1 matryca graficzna,"31,5x25x2,3 cm.",Anioły,,,,"Data wg adnot. na rew.: ""15/7.1969 20/7 1969"". Na rew. adnot. kredką i ołówkiem. Sygn. monogramem wiązanym z herbem Prus. Nazwa aut.: Stefan Mrożewski. Tyt. nadany przez katalogującego. Anna Filipowicz, Twórczość Stefana Mrożewskiego w publicznych zbiorach polskich, cz. II, Katalog, Warszawa 1995 (maszynopis w zbiorach ZZI) Marta Samek, Katalog prac Stefana Mrożewskiego ze zbiorów Muzeum Narodowego w Kielcach (maszynopis w zbiorach ZZI)"
,"ilustracja boskiej komedii dantego : raj : pieśń xxxii : wersy 4-36, 85-99, 118-138","Mrożewski, Stefan (1894-1975)",,,[1969],1 matryca graficzna,"31,7x24,9x2,3 cm.",Anioły,,,,"Data wg adnot. na rew.: ""1/8 1969"". Na rew. adnot. kredką i ołówkiem. Sygn. monogramem wiązanym z herbem Prus. Nazwa aut.: Stefan Mrożewski. Tyt. nadany przez katalogującego. Anna Filipowicz, Twórczość Stefana Mrożewskiego w publicznych zbiorach polskich, cz. II, Katalog, Warszawa 1995 (maszynopis w zbiorach ZZI) Marta Samek, Katalog prac Stefana Mrożewskiego ze zbiorów Muzeum Narodowego w Kielcach (maszynopis w zbiorach ZZI)"
,ilustracja boskiej komedii dantego : raj : pieśń xxxiii : wersy 115-145,"Mrożewski, Stefan (1894-1975)",,,[1969],1 matryca graficzna,"31,7x25x2,3 cm.",Bóg Ojciec,,,,"Data wg adnot. kredką na rew.: ""A.D. 29/8.1969 W. Creek skończyłem B.K."" i ołówkiem: ""6/II 1967 Walnut Creek 15/8 1969"". Na rew. adnot. kredką i ołówkiem. Sygn. z herbem Prus nad literą ""M"". Tyt. nadany przez katalogującego. Anna Filipowicz, Twórczość Stefana Mrożewskiego w publicznych zbiorach polskich, cz. II, Katalog, Warszawa 1995 (maszynopis w zbiorach ZZI) Czarodziej rylca Marta Samek, Katalog prac Stefana Mrożewskiego ze zbiorów Muzeum Narodowego w Kielcach (maszynopis w zbiorach ZZI)"
,ilustracja legend warszawy ewy szelburg-zarembiny : wróżba panny wodnej ; kwiaty smolinosy,"Mrożewski, Stefan (1894-1975)",,,[1938-1942],1 matryca graficzna,"26,6x20,2x2,3 cm.",Lilia,,,,"Na rew. matryca graficzna do kwiatów smolinosów, sygn.: ""MS 31-7 1942"". Sygn. monogramem wiązanym. Nazwa aut.: Stefan Mrożewski. Tyt. nadany przez katalogującego. Anna Filipowicz, Twórczość Stefana Mrożewskiego w publicznych zbiorach polskich, cz. II, Katalog, Warszawa 1995 (maszynopis w zbiorach ZZI) Czarodziej rylca Grońska 1994 Marta Samek, Katalog prac Stefana Mrożewskiego ze zbiorów Muzeum Narodowego w Kielcach (maszynopis w zbiorach ZZI) Wiesława Ozdoba-Kosierkiewicz, Grafika polska. Katalog zbiorów. Muzeum Narodowe w Kielcach, Kraków 1986"
,poloniae christianae millenium 966 1966,"Mrożewski, Stefan (1894-1975)",,,[1966],1 matryca graficzna,"30,5x22,8x2,3 cm.",,,,,"Kompoz. tyt. do teki: Millennium of Poland's Christianity 966-1966, twelve Woodengravings by Stefan Mrożewski, text by Helena Sworakowska, San Francisco 1966. Na rew. pieczęć: ""WLSEY"". Nie sygn. Nazwa aut.: Stefan Mrożewski. Andrzej Mrożewski, Stefan Mrożewski: twórczość graficzna 1952-1975 katalog wstępny, 16.VIII.2000 (maszynopis w zbiorach ZZI) Czarodziej rylca"
,ilustracja legend warszawy ewy szelburg-zarembiny : kocur kamienicy książąt mazowieckich,"Mrożewski, Stefan (1894-1975)",,,[1938],1 matryca graficzna,"26,6x20,2x2,3 cm.",,,,,"Na rew. sychy tłok producenta klocka: ""T. N. Lawrence manufacturer Red Lion Passage Fleet St. London"". Nie sygn. Nazwa aut.: Stefan Mrożewski. Tyt. nadany przez katalogującego. Anna Filipowicz, Twórczość Stefana Mrożewskiego w publicznych zbiorach polskich, cz. II, Katalog, Warszawa 1995 (maszynopis w zbiorach ZZI) Czarodziej rylca Grońska 1994 Marta Samek, Katalog prac Stefana Mrożewskiego ze zbiorów Muzeum Narodowego w Kielcach (maszynopis w zbiorach ZZI) Wiesława Ozdoba-Kosierkiewicz, Grafika polska. Katalog zbiorów. Muzeum Narodowe w Kielcach, Kraków 1986"
,ilustracja legend warszawy ewy szelburg-zarembiny : kochanica diabła,"Mrożewski, Stefan (1894-1975)",,,[1938],1 matryca graficzna,"26,5x20,3x2,3 cm.",Czarownice i czarownicy,,,,"Na rew. sychy tłok producenta klocka: ""T. N. Lawrence manufacturer Red Lion Passage Fleet St. London"". Nie sygn. Nazwa aut.: Stefan Mrożewski. Tyt. nadany przez katalogującego. Anna Filipowicz, Twórczość Stefana Mrożewskiego w publicznych zbiorach polskich, cz. II, Katalog, Warszawa 1995 (maszynopis w zbiorach ZZI) Czarodziej rylca Grońska 1994 Marta Samek, Katalog prac Stefana Mrożewskiego ze zbiorów Muzeum Narodowego w Kielcach (maszynopis w zbiorach ZZI) Wiesława Ozdoba-Kosierkiewicz, Grafika polska. Katalog zbiorów. Muzeum Narodowe w Kielcach, Kraków 1986"
,ilustracja legend warszawy ewy szelburg-zarembiny : złota kaczka,"Mrożewski, Stefan (1894-1975)",,,[1938],1 matryca graficzna,"26,7x20,3x2,3 cm.",Kaczka domowa,,,,"Na rew. sychy tłok producenta klocka: ""T. N. Lawrence manufacturer Red Lion Passage Fleet St. London"". Sygn. monogramem wiązanym. Nazwa aut.: Stefan Mrożewski. Tyt. nadany przez katalogującego. Anna Filipowicz, Twórczość Stefana Mrożewskiego w publicznych zbiorach polskich, cz. II, Katalog, Warszawa 1995 (maszynopis w zbiorach ZZI) Czarodziej rylca Grońska 1994 Marta Samek, Katalog prac Stefana Mrożewskiego ze zbiorów Muzeum Narodowego w Kielcach (maszynopis w zbiorach ZZI) Wiesława Ozdoba-Kosierkiewicz, Grafika polska. Katalog zbiorów. Muzeum Narodowe w Kielcach, Kraków 1986"
,ilustracja legend warszawy ewy szelburg-zarembiny : burmistrz śmierć ; kiść bzu,"Mrożewski, Stefan (1894-1975)",,,[1938-1941],1 matryca graficzna,"26,6x20,2x2,3 cm.",Lilak,,,,"Ilustracja do ""Legend Warszawy"" Ewy Szelburg-Zarębiny pt. Burmistrz i śmierć pochodzi z 1938 r., a Kiść bzu na rew. z 1941 r. Na rew. matryca graficzna z bzem, sygn.: ""MS 1941"". Na rew. słabo czytelny sychy tłok producenta klocka: ""T. N. Lawrence manufacturer Red Lion Passage Fleet St. London"". Sygn. monogramem wiązanym. Nazwa aut.: Stefan Mrożewski. Tyt. nadany przez katalogującego. Anna Filipowicz, Twórczość Stefana Mrożewskiego w publicznych zbiorach polskich, cz. II, Katalog, Warszawa 1995 (maszynopis w zbiorach ZZI) Anna Filipowicz, Twórczość Stefana Mrożewskiego w publicznych zbiorach polskich, cz. II, Katalog, Warszawa 1995 (maszynopis w zbiorach ZZI) Czarodziej rylca Czarodziej rylca Grońska 1994 Marta Samek, Katalog prac Stefana Mrożewskiego ze zbiorów Muzeum Narodowego w Kielcach (maszynopis w zbiorach ZZI) Wiesława Ozdoba-Kosierkiewicz, Grafika polska. Katalog zbiorów. Muzeum Narodowe w Kielcach, Kraków 1986"
,ilustracja legend warszawy ewy szelburg-zarembiny : pan jezus fary,"Mrożewski, Stefan (1894-1975)",,,[1938],1 matryca graficzna,"26,5x20,3x2,3 cm.",Jezus Chrystus,,,,"Na rew. sychy tłok producenta klocka: ""T. N. Lawrence manufacturer Red Lion Passage Fleet St. London"". Sygn. monogramem wiązanym. Nazwa aut.: Stefan Mrożewski. Tyt. nadany przez katalogującego. Anna Filipowicz, Twórczość Stefana Mrożewskiego w publicznych zbiorach polskich, cz. II, Katalog, Warszawa 1995 (maszynopis w zbiorach ZZI) Czarodziej rylca Grońska 1994 Marta Samek, Katalog prac Stefana Mrożewskiego ze zbiorów Muzeum Narodowego w Kielcach (maszynopis w zbiorach ZZI) Wiesława Ozdoba-Kosierkiewicz, Grafika polska. Katalog zbiorów. Muzeum Narodowe w Kielcach, Kraków 1986"
,ilustracja legend warszawy ewy szelburg-zarembiny : widmo,"Mrożewski, Stefan (1894-1975)",,,[1938],1 matryca graficzna,"26,6x20,2x2,3 cm.",Anna Samotrzeć (temat ikonograficzny),,,,"Na rew. sychy tłok producenta klocka: ""T. N. Lawrence manufacturer Red Lion Passage Fleet St. London"". Sygn. monogramem wiązanym. Nazwa aut.: Stefan Mrożewski. Tyt. nadany przez katalogującego. Anna Filipowicz, Twórczość Stefana Mrożewskiego w publicznych zbiorach polskich, cz. II, Katalog, Warszawa 1995 (maszynopis w zbiorach ZZI) Czarodziej rylca Grońska 1994 Marta Samek, Katalog prac Stefana Mrożewskiego ze zbiorów Muzeum Narodowego w Kielcach (maszynopis w zbiorach ZZI) Wiesława Ozdoba-Kosierkiewicz, Grafika polska. Katalog zbiorów. Muzeum Narodowe w Kielcach, Kraków 1986"
,ilustracja legend warszawy ewy szelburg-zarembiny : o basi giżance ; róże,"Mrożewski, Stefan (1894-1975)",,,[1938-1941],1 matryca graficzna,"26,5x20,3x2,3 cm.",Czarownice i czarownicy,,,,"Ilustracja do ""Legend Warszawy"" Ewy Szelburg-Zarębiny pt. O Basi Giżance pochodzi z 1938 r., a Róże na rew. z 1941 r. Na rew. matryca graficzna z różami, sygn.: ""MS"". Nie sygn. Nazwa aut.: Stefan Mrożewski. Tyt. nadany przez katalogującego. Anna Filipowicz, Twórczość Stefana Mrożewskiego w publicznych zbiorach polskich, cz. II, Katalog, Warszawa 1995 (maszynopis w zbiorach ZZI) Anna Filipowicz, Twórczość Stefana Mrożewskiego w publicznych zbiorach polskich, cz. II, Katalog, Warszawa 1995 (maszynopis w zbiorach ZZI) Czarodziej rylca Czarodziej rylca Grońska 1994 Marta Samek, Katalog prac Stefana Mrożewskiego ze zbiorów Muzeum Narodowego w Kielcach (maszynopis w zbiorach ZZI) Wiesława Ozdoba-Kosierkiewicz, Grafika polska. Katalog zbiorów. Muzeum Narodowe w Kielcach, Kraków 1986"
,ilustracja legend warszawy ewy szelburg-zarembiny : cud świętej anny,"Mrożewski, Stefan (1894-1975)",,,[1938],1 matryca graficzna,"26,6x20,3x2,3 cm.",Anioły,,,,"Na rew. sychy tłok producenta klocka: ""T. N. Lawrence manufacturer Red Lion Passage Fleet St. London"". Sygn. monogramem wiązanym. Nazwa aut.: Stefan Mrożewski. Tyt. nadany przez katalogującego. Anna Filipowicz, Twórczość Stefana Mrożewskiego w publicznych zbiorach polskich, cz. II, Katalog, Warszawa 1995 (maszynopis w zbiorach ZZI) Czarodziej rylca Grońska 1994 Marta Samek, Katalog prac Stefana Mrożewskiego ze zbiorów Muzeum Narodowego w Kielcach (maszynopis w zbiorach ZZI) Wiesława Ozdoba-Kosierkiewicz, Grafika polska. Katalog zbiorów. Muzeum Narodowe w Kielcach, Kraków 1986"
,ilustracja legend warszawy ewy szelburg-zarembiny : przestroga ; kwiaty jabłoni,"Mrożewski, Stefan (1894-1975)",,,[1938-1941],1 matryca graficzna,"26,5x21,5x2,3 cm.",Jabłoń,,,,"Ilustracja do ""Legend Warszawy"" Ewy Szelburg-Zarębiny pt. Przestroga pochodzi z 1938 r., a Kwiaty jabłoni na rew. z 1941 r. Na rew. matryca graficzna z kwitnącą gałązką jabłoni i owadami, sygn.: ""MS"". Sygn. pod kompoz. Tyt. nadany przez katalogującego. Anna Filipowicz, Twórczość Stefana Mrożewskiego w publicznych zbiorach polskich, cz. II, Katalog, Warszawa 1995 (maszynopis w zbiorach ZZI) Czarodziej rylca Grońska 1994 Marta Samek, Katalog prac Stefana Mrożewskiego ze zbiorów Muzeum Narodowego w Kielcach (maszynopis w zbiorach ZZI) Wiesława Ozdoba-Kosierkiewicz, Grafika polska. Katalog zbiorów. Muzeum Narodowe w Kielcach, Kraków 1986"
,winieta strony tytułowej legend warszawy ewy szelburg-zarembiny : amor,"Mrożewski, Stefan (1894-1975)",,,[1938],1 matryca graficzna,"5x3,6x2,3 cm.",,,,,Na rew. adnot. długopisem. Nie sygn. Nazwa aut.: Stefan Mrożewski. Tyt. nadany przez katalogującego. Czarodziej rylca Grońska 1994
,inicjał legend warszawy ewy szelburg-zarembiny : inicjał o legendy wróżba panny wodnej,"Mrożewski, Stefan (1894-1975)",,,[1938],1 matryca graficzna,"8,9x7x2,3 cm.",Dzik,,,,Sygn. monogramem wiązanym. Nazwa aut.: Stefan Mrożewski. Tyt. nadany przez katalogującego. Czarodziej rylca Grońska 1994
,inicjał legend warszawy ewy szelburg-zarembiny : inicjał z legendy kocur kamienicy książąt mazowieckich,"Mrożewski, Stefan (1894-1975)",,,[1938],1 matryca graficzna,"6,9x8,6x2,3 cm.",Inicjały (edytorstwo),,,,Sygn. monogramem wiązanym. Nazwa aut.: Stefan Mrożewski. Tyt. nadany przez katalogującego. Czarodziej rylca Grońska 1994
,inicjał legend warszawy ewy szelburg-zarembiny : inicjał z legendy kochanica diabła,"Mrożewski, Stefan (1894-1975)",,,[1938],1 matryca graficzna,"11,4x5,9x2,3 cm.",Czarownice i czarownicy,,,,"Na rew. fragment wyrytego ozn. producenta: ""T. N. Lawren[ce] manufactu[rer] Red Lion P[assage] Fleet S[t. London]"". Sygn. monogramem wiązanym. Nazwa aut.: Stefan Mrożewski. Tyt. nadany przez katalogującego. Czarodziej rylca Grońska 1994"
,inicjał legend warszawy ewy szelburg-zarembiny : inicjał b legendy złota kaczka,"Mrożewski, Stefan (1894-1975)",,,[1938],1 matryca graficzna,"8,6x6,9x2,3 cm.",Inicjały (edytorstwo),,,,Nie sygn. Nazwa aut.: Stefan Mrożewski. Tyt. nadany przez katalogującego. Czarodziej rylca Grońska 1994
,inicjał legend warszawy ewy szelburg-zarembiny : inicjał ż legendy burmistrz śmierć,"Mrożewski, Stefan (1894-1975)",,,[1938],1 matryca graficzna,"12,1x5,6x2,3 cm.",Dzwony,,,,"Na rew. sychy tłok producenta klocka: ""T. N. Lawrence manufacturer Red Lion Passage Fleet St. London"". Sygn. monogramem wiązanym. Nazwa aut.: Stefan Mrożewski. Tyt. nadany przez katalogującego. Czarodziej rylca Grońska 1994"
,inicjał legend warszawy ewy szelburg-zarembiny : inicjał o legendy pan jezus fary,"Mrożewski, Stefan (1894-1975)",,,[1938],1 matryca graficzna,"6x7,7x2,3 cm.",Inicjały (edytorstwo),,,,Na rew. adnot. ołówkiem. Sygn. monogramem wiązanym. Nazwa aut.: Stefan Mrożewski. Tyt. nadany przez katalogującego. Czarodziej rylca Grońska 1994
,inicjał legend warszawy ewy szelburg-zarembiny : inicjał w legendy widmo,"Mrożewski, Stefan (1894-1975)",,,[1938],1 matryca graficzna,"11,5x8x2,3 cm.",Inicjały (edytorstwo),,,,Na rew. adnot. ołówkiem. Sygn. monogramem wiązanym. Nazwa aut.: Stefan Mrożewski. Tyt. nadany przez katalogującego. Czarodziej rylca Grońska 1994
,winieta legend warszawy ewy szelburg-zarembiny : finalik legendy widmo,"Mrożewski, Stefan (1894-1975)",,,[1938],1 matryca graficzna,"3,3x6,5x2,3 cm.",,,,,Na rew. adnot. ołówkiem. Sygn. monogramem wiązanym. Nazwa aut.: Stefan Mrożewski. Tyt. nadany przez katalogującego. Czarodziej rylca Grońska 1994
,inicjał legend warszawy ewy szelburg-zarembiny : inicjał g legendy cud św. anny,"Mrożewski, Stefan (1894-1975)",,,[1938],1 matryca graficzna,"6,1x7,7x2,3 cm.",Duchowieństwo katolickie,,,,Na rew. adnot. ołówkiem. Sygn. monogramem wiązanym. Nazwa aut.: Stefan Mrożewski. Tyt. nadany przez katalogującego. Czarodziej rylca Grońska 1994
,inicjał legend warszawy ewy szelburg-zarembiny : inicjał o legendy przestroga,"Mrożewski, Stefan (1894-1975)",,,[1938],1 matryca graficzna,"8x6,6x2,3 cm.",Inicjały (edytorstwo),,,,Nie sygn. Nazwa aut.: Stefan Mrożewski. Tyt. nadany przez katalogującego. Czarodziej rylca Grońska 1994
,from the legendary past of krakow,"Mrożewski, Stefan (1894-1975)",,,[1965],1 matryca graficzna,"24,5x17,9x2,3 cm.",Smoki (stworzenia fantastyczne),,,,"Na rew. adnot. ołówkiem. Sygn. monogramem wiązanym z herbem Prus. Nazwa aut.: Stefan Mrożewski. Tytuł wg teki: Millennium of Poland's Christianity 966-1966, twelve Woodengravings by Stefan Mrożewski, text by Helena Sworakowska, San Francisco 1966. Andrzej Mrożewski, Stefan Mrożewski: twórczość graficzna 1952-1975 katalog wstępny, 16.VIII.2000 (maszynopis w zbiorach ZZI) Czarodziej rylca"
,"lech, the founder of gniezno","Mrożewski, Stefan (1894-1975)",,,[1965],1 matryca graficzna,"24,4x17,9x2,3 cm.",Orły,,,,"Na rew. adnot. ołówkiem. Sygn. monogramem wiązanym z herbem Prus. Nazwa aut.: Stefan Mrożewski. Tytuł wg teki: Millennium of Poland's Christianity 966-1966, twelve Woodengravings by Stefan Mrożewski, text by Helena Sworakowska, San Francisco 1966. Andrzej Mrożewski, Stefan Mrożewski: twórczość graficzna 1952-1975 katalog wstępny, 16.VIII.2000 (maszynopis w zbiorach ZZI) Czarodziej rylca"
,the piast dynasty,"Mrożewski, Stefan (1894-1975)",,,[1965],1 matryca graficzna,"24,4x17,9x2,3 cm.",,,,,"Sygn. monogramem wiązanym z herbem Prus. Nazwa aut.: Stefan Mrożewski. Tyt. wg teki: Millennium of Poland's Christianity 966-1966, twelve Woodengravings by Stefan Mrożewski, text by Helena Sworakowska, San Francisco 1966. Andrzej Mrożewski, Stefan Mrożewski: twórczość graficzna 1952-1975 katalog wstępny, 16.VIII.2000 (maszynopis w zbiorach ZZI) Czarodziej rylca"
,conversion christianity,"Mrożewski, Stefan (1894-1975)",,,[1965],1 matryca graficzna,"24,3x18x2,3 cm.",Chrzest Polski (966),,,,"Sygn. monogramem wiązanym z herbem Prus. Nazwa aut.: Stefan Mrożewski. Tytuł wg teki: Millennium of Poland's Christianity 966-1966, twelve Woodengravings by Stefan Mrożewski, text by Helena Sworakowska, San Francisco 1966. Andrzej Mrożewski, Stefan Mrożewski: twórczość graficzna 1952-1975 katalog wstępny, 16.VIII.2000 (maszynopis w zbiorach ZZI) Anna Filipowicz, Twórczość Stefana Mrożewskiego w publicznych zbiorach polskich, cz. II, Katalog, Warszawa 1995 (maszynopis w zbiorach ZZI) Czarodziej rylca"
